,product_id,quantity,estimated_stock_pct,temperature,category,unit_price,timestamp_day_of_month,timestamp_day_of_week,timestamp_hour
0,0,3.0,0.89,-0.028849840255591022,11,11.19,1,1,9
1,1,3.0,0.14,-0.028849840255591022,21,1.49,1,1,9
2,2,0.0,0.67,-0.028849840255591022,0,14.19,1,1,9
3,4,0.0,0.82,-0.028849840255591022,3,20.19,1,1,9
4,6,0.0,0.05,-0.028849840255591022,16,8.19,1,1,9
5,13,0.0,0.1,-0.028849840255591022,3,15.99,1,1,9
6,16,0.0,0.83,-0.028849840255591022,16,11.19,1,1,9
7,17,0.0,0.67,-0.028849840255591022,12,16.19,1,1,9
8,18,3.0,0.35,-0.028849840255591022,10,3.99,1,1,9
9,20,0.0,0.9199999999999999,-0.028849840255591022,20,4.99,1,1,9
10,23,0.0,0.35,-0.028849840255591022,9,13.19,1,1,9
11,24,0.0,0.17333333333333334,-0.028849840255591022,13,19.99,1,1,9
12,26,0.0,0.335,-0.028849840255591022,13,20.49,1,1,9
13,29,1.0,0.48,-0.028849840255591022,2,8.19,1,1,9
14,30,6.0,0.67,-0.028849840255591022,10,1.49,1,1,9
15,32,0.0,0.92,-0.028849840255591022,15,16.99,1,1,9
16,36,0.0,0.345,-0.028849840255591022,16,8.49,1,1,9
17,38,0.0,0.76,-0.028849840255591022,11,18.19,1,1,9
18,41,0.0,0.735,-0.028849840255591022,6,16.49,1,1,9
19,43,0.0,0.17,-0.028849840255591022,3,16.19,1,1,9
20,44,3.0,0.88,-0.028849840255591022,8,8.19,1,1,9
21,45,3.0,0.5,-0.028849840255591022,11,18.49,1,1,9
22,48,0.0,0.71,-0.028849840255591022,20,3.49,1,1,9
23,49,0.0,0.84,-0.028849840255591022,2,8.19,1,1,9
24,51,0.0,0.64,-0.028849840255591022,7,3.19,1,1,9
25,57,0.0,0.65,-0.028849840255591022,17,3.49,1,1,9
26,59,0.0,0.44,-0.028849840255591022,2,7.99,1,1,9
27,60,0.0,0.76,-0.028849840255591022,9,4.99,1,1,9
28,61,2.0,0.36333333333333334,-0.028849840255591022,14,6.19,1,1,9
29,68,2.0,0.65,-0.028849840255591022,1,5.49,1,1,9
30,69,0.0,0.28,-0.028849840255591022,15,5.49,1,1,9
31,72,0.0,0.74,-0.028849840255591022,12,16.19,1,1,9
32,76,0.0,0.22,-0.028849840255591022,19,1.99,1,1,9
33,78,0.0,0.77,-0.028849840255591022,6,17.19,1,1,9
34,79,0.0,0.88,-0.028849840255591022,7,5.19,1,1,9
35,80,2.0,0.5,-0.028849840255591022,17,6.19,1,1,9
36,82,0.0,0.45,-0.028849840255591022,6,8.99,1,1,9
37,85,4.0,0.635,-0.028849840255591022,1,7.49,1,1,9
38,86,1.0,0.63,-0.028849840255591022,11,15.49,1,1,9
39,88,0.0,0.335,-0.028849840255591022,2,3.99,1,1,9
40,89,6.0,1.0,-0.028849840255591022,12,11.99,1,1,9
41,92,3.0,0.09,-0.028849840255591022,17,6.49,1,1,9
42,93,3.0,0.64,-0.028849840255591022,15,3.49,1,1,9
43,95,0.0,0.24,-0.028849840255591022,14,7.19,1,1,9
44,96,0.0,0.73,-0.028849840255591022,19,3.99,1,1,9
45,102,0.0,0.47,-0.028849840255591022,9,5.49,1,1,9
46,104,0.0,0.195,-0.028849840255591022,1,8.49,1,1,9
47,105,0.0,0.8,-0.028849840255591022,1,6.49,1,1,9
48,107,0.0,0.38,-0.028849840255591022,8,9.49,1,1,9
49,108,0.0,0.12,-0.028849840255591022,5,11.19,1,1,9
50,111,0.0,0.83,-0.028849840255591022,17,10.99,1,1,9
51,112,0.0,0.42,-0.028849840255591022,3,10.49,1,1,9
52,116,0.0,0.71,-0.028849840255591022,15,9.99,1,1,9
53,118,0.0,0.1,-0.028849840255591022,1,4.19,1,1,9
54,126,0.0,0.17,-0.028849840255591022,15,8.49,1,1,9
55,128,0.0,0.45,-0.028849840255591022,1,10.19,1,1,9
56,129,1.0,0.04,-0.028849840255591022,17,8.99,1,1,9
57,133,0.0,0.5366666666666667,-0.028849840255591022,20,3.99,1,1,9
58,134,0.0,0.5,-0.028849840255591022,2,6.99,1,1,9
